"device_id","created_at","feed_entry_id","luminosity_value","vibration_value","alert"
1885576,"2024-11-26T22:44:02Z",499415,"472","0","0"
1885576,"2024-11-26T22:44:13Z",499416,"474","0","0"
1885576,"2024-11-26T22:44:32Z",499417,"490","0","0"
1885576,"2024-11-26T22:45:02Z",499418,"494","0","0"
1885576,"2024-11-26T22:45:27Z",499419,"475","0","0"
1885576,"2024-11-26T22:45:51Z",499420,"490","0","0"
1885576,"2024-11-26T22:46:46Z",499421,"490","0","0"
1885576,"2024-11-26T22:46:53Z",499422,"474","0","0"
1885576,"2024-11-26T22:47:23Z",499423,"474","0","0"
1885576,"2024-11-26T22:48:12Z",499424,"473","0","0"
1885576,"2024-11-26T22:48:30Z",499425,"486","0","0"
1885576,"2024-11-26T22:49:01Z",499426,"478","0","0"
1885576,"2024-11-26T22:49:37Z",499427,"496","0","0"
1885576,"2024-11-26T22:49:49Z",499428,"484","0","0"
1885576,"2024-11-26T22:50:14Z",499429,"475","0","0"
1885576,"2024-11-26T22:50:44Z",499430,"498","0","0"
1885576,"2024-11-26T22:51:03Z",499431,"498","0","0"
1885576,"2024-11-26T22:51:40Z",499432,"473","0","0"
1885576,"2024-11-26T22:51:58Z",499433,"477","0","0"
1885576,"2024-11-26T22:52:22Z",499434,"475","0","0"
1885576,"2024-11-26T22:53:12Z",499436,"489","0","0"
1885576,"2024-11-26T22:53:36Z",499437,"487","0","0"
1885576,"2024-11-26T22:54:00Z",499438,"496","0","0"
1885576,"2024-11-26T22:54:31Z",499439,"473","0","0"
1885576,"2024-11-26T22:55:14Z",499440,"476","0","0"
1885576,"2024-11-26T22:55:38Z",499441,"489","0","0"
1885576,"2024-11-26T22:55:50Z",499442,"496","0","0"
1885576,"2024-11-26T22:56:02Z",499443,"471","0","0"
1885576,"2024-11-26T22:56:21Z",499444,"479","0","0"
1885576,"2024-11-26T22:56:33Z",499445,"493","0","0"
1885576,"2024-11-26T22:56:45Z",499446,"472","0","0"
1885576,"2024-11-26T22:57:34Z",499447,"497","0","0"
1885576,"2024-11-26T22:58:05Z",499448,"473","0","0"
1885576,"2024-11-26T22:59:00Z",499449,"498","0","0"
1885576,"2024-11-26T22:59:36Z",499450,"486","0","0"
1885576,"2024-11-26T22:59:42Z",499451,"490","0","0"
1885576,"2024-11-26T22:59:54Z",499452,"478","0","0"
1885576,"2024-11-26T23:00:31Z",499453,"474","0","0"
1885576,"2024-11-26T23:00:56Z",499454,"486","0","0"
1885576,"2024-11-26T23:01:14Z",499455,"481","0","0"
1885576,"2024-11-26T23:01:32Z",499456,"491","0","0"
1885576,"2024-11-26T23:01:51Z",499457,"473","0","0"
1885576,"2024-11-26T23:02:09Z",499458,"484","0","0"
1885576,"2024-11-26T23:02:21Z",499460,"490","0","0"
1885576,"2024-11-26T23:02:33Z",499461,"486","0","0"
1885576,"2024-11-26T23:02:46Z",499462,"484","0","0"
1885576,"2024-11-26T23:03:29Z",499463,"497","0","0"
1885576,"2024-11-26T23:03:34Z",499464,"473","0","0"
1885576,"2024-11-26T23:03:59Z",499465,"474","0","0"
1885576,"2024-11-26T23:04:17Z",499466,"491","0","0"
1885576,"2024-11-26T23:04:42Z",499467,"497","0","0"
